,planet_type,radius,orbital_radius,orbital_days,eccentricity,detection_method
4711,Neptune-like,0.28 x Jupiter,0.1177,18.9,0.0,Transit
4712,Gas Giant,1.44 x Jupiter,0.04882,3.2,0.0,Transit
4713,Super Earth,1.152 x Earth,0.02607,1.9,0.0,Transit
4714,Super Earth,1.669 x Earth,0.037,3.2,0.0,Transit
4715,Neptune-like,0.229 x Jupiter,0.0592,6.6,0.0,Transit
4716,Neptune-like,2.207 x Earth,0.0783,10,0.0,Transit
4717,Super Earth,0.204 x Jupiter,0.1039,15.2,0.0,Transit
4718,Neptune-like,0.256 x Jupiter,0.1275,20.7,0.0,Transit
4719,Super Earth,1.258 x Earth,0.00812,0.5,0.0,Transit
4720,Gas Giant,1.04 x Jupiter,0.1001,9.6,0.0,Transit
4721,Super Earth,1.31 x Earth,0.0204,1.1,0.0,Transit
4722,Gas Giant,1.15 x Jupiter,0.1587,29,0.12,Transit
4723,Gas Giant,1.008 x Jupiter,0.3,53,0.28,Transit
4724,Gas Giant,1.44 x Jupiter,Unknown,1.5,0.0,Transit
4725,Super Earth,1.3 x Earth,0.0112,0.7,0.0,Transit
4726,Neptune-like,0.225 x Jupiter,0.0682,10.4,0.0,Transit
4727,Neptune-like,0.312 x Jupiter,0.1093,21,0.0,Transit
4728,Neptune-like,0.288 x Jupiter,0.1539,35.1,0.0,Transit
4729,Gas Giant,1.347 x Jupiter,0.01791,0.7,0.0,Transit
4730,Super Earth,2.09 x Earth,0.054,7.9,0.0,Transit
4731,Gas Giant,0.901 x Jupiter,0.2069,34.5,0.0,Transit
4732,Neptune-like,0.714 x Jupiter,0.1293,17.2,0.16,Transit
4733,Gas Giant,1.01 x Jupiter,0.828,260.8,0.37,Transit
4734,Gas Giant,1.017 x Jupiter,Unknown,6.9,0.08,Transit
4735,Gas Giant,1.01 x Jupiter,0.09564,11.9,0.04,Transit
4736,Gas Giant,1.19 x Jupiter(estimate),0.15544,24.7,0.06,Transit Timing Variations
4737,Neptune-like,0.27 x Jupiter,0.08911,10.7,0.03,Transit
4738,Neptune-like,2.194 x Earth,0.145,35.2,0.5,Transit
4739,Super Earth,1.62 x Earth,0.0097,0.4,0.0,Transit
4740,Super Earth,1.74 x Earth,0.1363,27.3,0.3,Transit
4741,Gas Giant,0.9 x Jupiter,Unknown,3,0.02,Transit
4742,Super Earth,1.44 x Earth,0.0341,5.4,0.0,Transit
4743,Neptune-like,0.262 x Jupiter,0.0228,3.1,0.26,Transit
4744,Super Earth,1.68 x Earth,0.0144,0.8,0.0,Transit
4745,Super Earth,1.8 x Earth,0.0202,1.3,0.0,Transit
4746,Super Earth,1.25 x Earth,0.0064,0.4,0.0,Transit
4747,Neptune-like,0.244 x Jupiter,0.05741,4.9,0.0,Transit
4748,Gas Giant,0.639 x Jupiter,0.1528,18.4,0.0,Transit
4749,Gas Giant,1.76 x Jupiter,Unknown,6.2,0.09,Transit
4750,Neptune-like,0.247 x Jupiter,0.0345,3.7,0.43,Transit
4751,Super Earth,1.206 x Earth,0.03197,3.4,0.03,Transit
4752,Neptune-like,0.21 x Jupiter,0.04526,5.7,0.03,Transit
