iter	Passed	Remaining
728	6730	2502
729	6739	2492
730	6748	2483
731	6757	2474
732	6766	2464
733	6775	2455
734	6784	2446
735	6793	2436
736	6802	2427
737	6812	2418
738	6820	2408
739	6830	2399
740	6839	2390
741	6847	2381
742	6856	2371
743	6865	2362
744	6874	2353
745	6883	2343
746	6892	2334
747	6901	2325
748	6910	2315
749	6919	2306
750	6928	2297
751	6937	2287
752	6946	2278
753	6955	2269
754	6964	2260
755	6973	2250
756	6982	2241
757	6991	2232
758	7000	2222
759	7009	2213
760	7018	2204
761	7027	2194
762	7036	2185
763	7045	2176
764	7054	2167
765	7063	2157
766	7072	2148
767	7081	2139
768	7090	2129
769	7099	2120
770	7109	2111
771	7118	2102
772	7127	2092
773	7136	2083
774	7144	2074
775	7154	2065
776	7162	2055
777	7171	2046
778	7180	2037
779	7189	2027
780	7198	2018
781	7207	2009
782	7216	1999
783	7225	1990
784	7234	1981
785	7243	1972
786	7252	1962
787	7261	1953
788	7270	1944
789	7279	1934
790	7288	1925
791	7297	1916
792	7306	1907
793	7315	1897
794	7324	1888
795	7333	1879
796	7341	1870
797	7350	1860
798	7359	1851
799	7368	1842
800	7378	1832
801	7387	1823
802	7396	1814
803	7405	1805
804	7413	1795
805	7423	1786
806	7432	1777
807	7441	1768
808	7450	1758
809	7459	1749
810	7468	1740
811	7477	1731
812	7486	1721
813	7495	1712
814	7504	1703
815	7513	1694
816	7523	1685
817	7532	1675
818	7541	1666
819	7550	1657
820	7559	1648
821	7568	1638
822	7577	1629
823	7586	1620
824	7595	1611
825	7604	1601
826	7613	1592
827	7622	1583
828	7631	1574
829	7640	1565
830	7650	1555
831	7659	1546
832	7668	1537
833	7677	1528
834	7687	1518
835	7696	1509
836	7705	1500
837	7715	1491
838	7724	1482
839	7733	1472
840	7742	1463
841	7751	1454
842	7760	1445
843	7769	1436
844	7778	1426
845	7787	1417
846	7796	1408
847	7805	1399
848	7814	1389
849	7824	1380
850	7833	1371
851	7842	1362
852	7851	1353
853	7860	1343
854	7870	1334
855	7879	1325
856	7888	1316
857	7897	1307
858	7906	1297
859	7915	1288
860	7924	1279
861	7934	1270
862	7943	1260
863	7954	1252
864	7963	1242
865	7973	1233
866	7983	1224
867	7992	1215
868	8001	1206
869	8011	1197
870	8022	1188
871	8033	1179
872	8043	1170
873	8052	1160
874	8062	1151
875	8072	1142
876	8082	1133
877	8091	1124
878	8101	1115
879	8112	1106
880	8122	1097
881	8132	1088
882	8142	1078
883	8151	1069
884	8161	1060
885	8170	1051
886	8180	1042
887	8189	1032
888	8199	1023
889	8209	1014
890	8218	1005
891	8227	996
892	8237	986
893	8247	977
894	8256	968
895	8266	959
896	8275	950
897	8284	941
898	8294	931
899	8305	922
900	8314	913
901	8323	904
902	8332	895
903	8342	885
904	8351	876
905	8360	867
906	8369	858
907	8380	849
908	8389	839
909	8398	830
910	8408	821
911	8417	812
912	8427	803
913	8436	793
914	8445	784
915	8454	775
916	8464	766
917	8474	757
918	8483	747
919	8493	738
920	8502	729
921	8512	720
922	8521	710
923	8530	701
924	8540	692
925	8549	683
926	8559	674
927	8567	664
928	8577	655
929	8587	646
930	8596	637
931	8605	627
932	8614	618
933	8623	609
934	8632	600
935	8641	590
936	8650	581
937	8660	572
938	8669	563
939	8679	553
940	8688	544
941	8697	535
942	8707	526
943	8716	517
944	8726	507
945	8735	498
946	8745	489
947	8754	480
948	8763	470
949	8773	461
950	8782	452
951	8792	443
952	8801	434
953	8810	424
954	8820	415
955	8829	406
956	8838	397
957	8847	387
958	8856	378
959	8865	369
960	8874	360
961	8883	350
962	8893	341
963	8902	332
964	8911	323
965	8920	313
966	8929	304
967	8938	295
968	8948	286
969	8957	277
970	8966	267
971	8975	258
972	8985	249
973	8994	240
974	9003	230
975	9012	221
976	9022	212
977	9031	203
978	9040	193
979	9049	184
980	9058	175
981	9069	166
982	9078	157
983	9087	147
984	9096	138
985	9106	129
986	9115	120
987	9124	110
988	9133	101
989	9142	92
990	9151	83
991	9160	73
992	9169	64
993	9178	55
994	9187	46
995	9196	36
996	9205	27
997	9214	18
998	9223	9
999	9232	0
